Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;08.04.2020;1,4;7;0;11,5
Oslo - Blindern;SN18700;09.04.2020;12,7;1,3;0;11,7
Oslo - Blindern;SN18700;10.04.2020;13;1;0;11,8
Oslo - Blindern;SN18700;06.04.2021;5,3;6,7;0;9,2
Oslo - Blindern;SN18700;07.04.2021;5,4;7;0;8,9
Oslo - Blindern;SN18700;08.04.2021;7,1;6;0,1;7,3
Oslo - Blindern;SN18700;09.04.2021;8,7;4,3;1,4;10,3
Oslo - Blindern;SN18700;10.04.2021;12,8;2;0,1;9,5
Oslo - Blindern;SN18700;06.04.2022;3,1;7,3;0;5,6
Oslo - Blindern;SN18700;07.04.2022;0,5;7,7;0;4,7
Oslo - Blindern;SN18700;08.04.2022;9,3;5,3;0;6,1
Oslo - Blindern;SN18700;09.04.2022;2,1;7,3;0;9
Oslo - Blindern;SN18700;10.04.2022;11,1;3,3;0;13,1
Data er gyldig per 23.03.2023 (CC BY 4.0), Meteorologisk institutt (MET);;;;;;
