Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;15.03.1993;0;8;0;3,5
Oslo - Blindern;SN18700;16.03.1993;6,4;5,7;0,2;9,8
Oslo - Blindern;SN18700;17.03.1993;4,6;4,7;0;10,6
Oslo - Blindern;SN18700;18.03.1993;4,4;2,7;0;9,5
Oslo - Blindern;SN18700;19.03.1993;9,4;2;0;7,7
Oslo - Blindern;SN18700;01.03.1994;8,6;0,7;0;-5,8
Oslo - Blindern;SN18700;02.03.1994;0;7,7;0;-7,4
Oslo - Blindern;SN18700;03.03.1994;0,1;7,7;2,5;-4,2
Oslo - Blindern;SN18700;04.03.1994;5,8;5,3;7,7;-0,4
Oslo - Blindern;SN18700;05.03.1994;0;8;2,4;1,6
Oslo - Blindern;SN18700;06.03.1994;6,4;2,7;8,4;6,3
Oslo - Blindern;SN18700;07.03.1994;5,6;4;0;6,3
Oslo - Blindern;SN18700;08.03.1994;0;4;0;3,1
Oslo - Blindern;SN18700;09.03.1994;9,5;2,3;0,1;7,8
Oslo - Blindern;SN18700;10.03.1994;8,6;4;0;7,6
Oslo - Blindern;SN18700;11.03.1994;0,5;7,7;0;3,9
Oslo - Blindern;SN18700;12.03.1994;5,6;4;0;4,6
Oslo - Blindern;SN18700;13.03.1994;0;8;0;2,8
Oslo - Blindern;SN18700;14.03.1994;7,4;5,7;3,8;4,6
Oslo - Blindern;SN18700;15.03.1994;9,7;3,3;0;7,2
Oslo - Blindern;SN18700;16.03.1994;5,4;4,3;0;4,6
Oslo - Blindern;SN18700;17.03.1994;6,7;2,7;0;5,3
Oslo - Blindern;SN18700;18.03.1994;0;7,7;0;2,8
Oslo - Blindern;SN18700;19.03.1994;9,2;3,3;0;2,5
Oslo - Blindern;SN18700;01.03.1995;2,7;4,7;0;6,8
Oslo - Blindern;SN18700;02.03.1995;5,7;4,7;0;4,7
Oslo - Blindern;SN18700;03.03.1995;2,2;7,7;0;1,9
Oslo - Blindern;SN18700;04.03.1995;0;7,3;0,2;0,9
Oslo - Blindern;SN18700;05.03.1995;0,3;6,7;0,6;0,3
Oslo - Blindern;SN18700;06.03.1995;0;8;4,7;1,5
Oslo - Blindern;SN18700;07.03.1995;0,5;7;2,1;2,7
Oslo - Blindern;SN18700;08.03.1995;4,8;4;0;4,5
Oslo - Blindern;SN18700;09.03.1995;0;7;0;3,4
Oslo - Blindern;SN18700;10.03.1995;5,1;5,7;0,1;4,6
Oslo - Blindern;SN18700;11.03.1995;0;8;0;3,4
Oslo - Blindern;SN18700;12.03.1995;0;8;0;1,6
Oslo - Blindern;SN18700;13.03.1995;0;8;0,4;3
Oslo - Blindern;SN18700;14.03.1995;0;8;0,2;3
Oslo - Blindern;SN18700;15.03.1995;0;8;0,6;-0,6
Oslo - Blindern;SN18700;16.03.1995;0;8;5,2;0,9
Oslo - Blindern;SN18700;17.03.1995;0;8;2,3;2,2
Oslo - Blindern;SN18700;18.03.1995;4,4;6,3;9,5;5,9
Oslo - Blindern;SN18700;19.03.1995;1,6;5,7;0;4,1
Oslo - Blindern;SN18700;01.03.1996;8,2;3;0;5,8
Oslo - Blindern;SN18700;02.03.1996;2,4;6;0;2,3
Oslo - Blindern;SN18700;03.03.1996;3,2;6;0;1,8
Oslo - Blindern;SN18700;04.03.1996;0,8;5,3;0;3,9
Oslo - Blindern;SN18700;05.03.1996;8,2;1,7;0;5,7
Oslo - Blindern;SN18700;06.03.1996;7,2;2;0;8,4
Oslo - Blindern;SN18700;07.03.1996;9,5;1;0;6,6
Oslo - Blindern;SN18700;08.03.1996;4,1;5,7;0;3,1
Oslo - Blindern;SN18700;09.03.1996;9,5;0,3;0;7
Oslo - Blindern;SN18700;10.03.1996;9,6;1;0;5
Oslo - Blindern;SN18700;11.03.1996;0;7,7;0;0,3
Oslo - Blindern;SN18700;12.03.1996;6,9;3,7;0;1,1
Oslo - Blindern;SN18700;13.03.1996;1,2;7;0;0,4
Oslo - Blindern;SN18700;14.03.1996;6;4,7;0;3,6
Oslo - Blindern;SN18700;15.03.1996;5;5,3;0,2;3,8
Oslo - Blindern;SN18700;16.03.1996;0;7,7;0;1,7
Oslo - Blindern;SN18700;17.03.1996;0,4;6,3;0;1,4
Oslo - Blindern;SN18700;18.03.1996;4,2;5,7;0;0,2
Oslo - Blindern;SN18700;19.03.1996;3,3;6;0;-0,5
Oslo - Blindern;SN18700;01.03.1997;1;4,7;0,3;6,5
Oslo - Blindern;SN18700;02.03.1997;3,1;5,7;0;10,1
Oslo - Blindern;SN18700;03.03.1997;8;1,7;0;8,6
Oslo - Blindern;SN18700;04.03.1997;7,7;2,7;0;11,8
Oslo - Blindern;SN18700;05.03.1997;0,2;7,3;0;7,1
Oslo - Blindern;SN18700;06.03.1997;9,3;1,3;0;10,3
Oslo - Blindern;SN18700;07.03.1997;2,5;6;0;6,3
Oslo - Blindern;SN18700;08.03.1997;8,1;4,3;0;10,4
Oslo - Blindern;SN18700;09.03.1997;8,6;4;0;10,8
Oslo - Blindern;SN18700;10.03.1997;5,6;3,7;0;6,6
Oslo - Blindern;SN18700;11.03.1997;8,4;1,7;0;14,1
Oslo - Blindern;SN18700;12.03.1997;2,4;7,7;0;8,8
Oslo - Blindern;SN18700;13.03.1997;5,9;6,7;0;10,8
Oslo - Blindern;SN18700;14.03.1997;9,4;3;0;6
Oslo - Blindern;SN18700;15.03.1997;8,7;2,7;0;4,3
Oslo - Blindern;SN18700;16.03.1997;8,9;3;0;4,1
Oslo - Blindern;SN18700;17.03.1997;10,4;2;0;2,7
Oslo - Blindern;SN18700;18.03.1997;4,7;5,7;0;0,7
Oslo - Blindern;SN18700;19.03.1997;10;2,3;0;2,7
Oslo - Blindern;SN18700;01.03.1998;6,9;5;0;1,6
Oslo - Blindern;SN18700;02.03.1998;0;6;0;-2,3
Oslo - Blindern;SN18700;03.03.1998;0;7,3;0;-4,3
Oslo - Blindern;SN18700;04.03.1998;2,7;6,7;0,3;1,5
Oslo - Blindern;SN18700;05.03.1998;5,5;6;0,1;2,3
Oslo - Blindern;SN18700;06.03.1998;2,4;7;16;-0,1
Oslo - Blindern;SN18700;07.03.1998;6,7;6;2,4;-1,8
Oslo - Blindern;SN18700;08.03.1998;7,5;0,7;0;1,5
Oslo - Blindern;SN18700;09.03.1998;8,7;1;0;3,4
Oslo - Blindern;SN18700;10.03.1998;8,9;2;0;1,8
Oslo - Blindern;SN18700;11.03.1998;0;8;0,2;1,7
Oslo - Blindern;SN18700;12.03.1998;8,6;3,7;6,6;1,8
Oslo - Blindern;SN18700;13.03.1998;7,5;4,7;0;8,3
Oslo - Blindern;SN18700;14.03.1998;4,8;5,7;0;5,5
Oslo - Blindern;SN18700;15.03.1998;1,4;6;0;6,2
Oslo - Blindern;SN18700;16.03.1998;2,6;7;0,1;9,8
Oslo - Blindern;SN18700;17.03.1998;7,3;4,3;0;7,9
Oslo - Blindern;SN18700;18.03.1998;10,2;1,7;0;8,4
Oslo - Blindern;SN18700;19.03.1998;7,6;1,7;0;6,5
Oslo - Blindern;SN18700;01.03.1999;8,6;3;10,1;6,4
Oslo - Blindern;SN18700;02.03.1999;7,8;3,3;0;5,7
Oslo - Blindern;SN18700;03.03.1999;0;8;0;1
Oslo - Blindern;SN18700;04.03.1999;0;8;11,2;1,3
Oslo - Blindern;SN18700;05.03.1999;0;8;11,4;0,8
Oslo - Blindern;SN18700;06.03.1999;0;8;8,6;1,7
Oslo - Blindern;SN18700;07.03.1999;0;8;7,1;2,2
Oslo - Blindern;SN18700;08.03.1999;1,3;7,7;6,3;3,2
Oslo - Blindern;SN18700;09.03.1999;0;7,7;1;2,6
Oslo - Blindern;SN18700;10.03.1999;3,6;5,7;0,1;-1,3
Oslo - Blindern;SN18700;11.03.1999;5,5;5;0;-1,2
Oslo - Blindern;SN18700;12.03.1999;5,8;4,3;0;-0,7
Oslo - Blindern;SN18700;13.03.1999;0;8;0;-2
Oslo - Blindern;SN18700;14.03.1999;0;8;2,7;-0,6
Oslo - Blindern;SN18700;15.03.1999;0;8;3;0,1
Oslo - Blindern;SN18700;16.03.1999;0;8;0,1;0,6
Oslo - Blindern;SN18700;17.03.1999;0;8;20,2;2,6
Oslo - Blindern;SN18700;18.03.1999;0;8;0,3;3
Oslo - Blindern;SN18700;19.03.1999;4,4;5,7;9,2;7,2
Oslo - Blindern;SN18700;01.03.2000;6,3;4,7;3,6;6,7
Oslo - Blindern;SN18700;02.03.2000;7;3,7;0;4,5
Oslo - Blindern;SN18700;03.03.2000;5,4;7;12,6;2,3
Oslo - Blindern;SN18700;04.03.2000;7,6;5,7;0;3
Oslo - Blindern;SN18700;05.03.2000;6,6;5,3;0;3,9
Oslo - Blindern;SN18700;06.03.2000;3,8;6,7;0,1;11,1
Oslo - Blindern;SN18700;07.03.2000;5,8;4,3;0;8,1
Oslo - Blindern;SN18700;08.03.2000;0;8;0;5
Oslo - Blindern;SN18700;09.03.2000;7,7;2,3;5,3;3,3
